Indicator_data,case_id,First Tooltip
Healthy life expectancy (HALE) at birth (years),"Armenia,2019,Male",64.88
Healthy life expectancy (HALE) at birth (years),"Armenia,2019,Female",69.1
Healthy life expectancy (HALE) at birth (years),"Armenia,2015,Both sexes",66
Healthy life expectancy (HALE) at birth (years),"Armenia,2015,Male",63.67
Healthy life expectancy (HALE) at birth (years),"Armenia,2015,Female",68.14
Healthy life expectancy (HALE) at birth (years),"Armenia,2010,Both sexes",64.84
Healthy life expectancy (HALE) at birth (years),"Armenia,2010,Male",62.36
Healthy life expectancy (HALE) at birth (years),"Armenia,2010,Female",67.18
Healthy life expectancy (HALE) at birth (years),"Armenia,2000,Both sexes",63.5
Healthy life expectancy (HALE) at birth (years),"Armenia,2000,Male",61.19
Healthy life expectancy (HALE) at birth (years),"Armenia,2000,Female",65.64
Healthy life expectancy (HALE) at birth (years),"Australia,2019,Both sexes",70.93
Healthy life expectancy (HALE) at birth (years),"Australia,2019,Male",70.15
Healthy life expectancy (HALE) at birth (years),"Australia,2019,Female",71.73
Healthy life expectancy (HALE) at birth (years),"Australia,2015,Both sexes",70.56
Healthy life expectancy (HALE) at birth (years),"Australia,2015,Male",69.74
Healthy life expectancy (HALE) at birth (years),"Australia,2015,Female",71.4
Healthy life expectancy (HALE) at birth (years),"Australia,2010,Both sexes",70.17
Healthy life expectancy (HALE) at birth (years),"Australia,2010,Male",69.16
Healthy life expectancy (HALE) at birth (years),"Australia,2010,Female",71.19
Healthy life expectancy (HALE) at birth (years),"Australia,2000,Both sexes",68.57
Healthy life expectancy (HALE) at birth (years),"Australia,2000,Male",67.16
Healthy life expectancy (HALE) at birth (years),"Australia,2000,Female",69.97
Healthy life expectancy (HALE) at birth (years),"Austria,2019,Both sexes",70.94
Healthy life expectancy (HALE) at birth (years),"Austria,2019,Male",69.93
Healthy life expectancy (HALE) at birth (years),"Austria,2019,Female",71.9
Healthy life expectancy (HALE) at birth (years),"Austria,2015,Both sexes",70.39
Healthy life expectancy (HALE) at birth (years),"Austria,2015,Male",69.17
Healthy life expectancy (HALE) at birth (years),"Austria,2015,Female",71.56
Healthy life expectancy (HALE) at birth (years),"Austria,2010,Both sexes",69.92
Healthy life expectancy (HALE) at birth (years),"Austria,2010,Male",68.34
Healthy life expectancy (HALE) at birth (years),"Austria,2010,Female",71.4
Healthy life expectancy (HALE) at birth (years),"Austria,2000,Both sexes",68.18
Healthy life expectancy (HALE) at birth (years),"Austria,2000,Male",66.35
Healthy life expectancy (HALE) at birth (years),"Austria,2000,Female",69.81
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2019,Both sexes",63.65
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2019,Male",62.08
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2019,Female",65.22
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2015,Both sexes",63.09
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2015,Male",61.5
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2015,Female",64.72
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2010,Both sexes",61.71
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2010,Male",60.06
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2010,Female",63.41
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2000,Both sexes",58.5
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2000,Male",56.62
Healthy life expectancy (HALE) at birth (years),"Azerbaijan,2000,Female",60.41
Healthy life expectancy (HALE) at birth (years),"Bahamas,2019,Both sexes",64.35
Healthy life expectancy (HALE) at birth (years),"Bahamas,2019,Male",62.26
Healthy life expectancy (HALE) at birth (years),"Bahamas,2019,Female",66.47
Healthy life expectancy (HALE) at birth (years),"Bahamas,2015,Both sexes",64.17
Healthy life expectancy (HALE) at birth (years),"Bahamas,2015,Male",62.18
Healthy life expectancy (HALE) at birth (years),"Bahamas,2015,Female",66.16
Healthy life expectancy (HALE) at birth (years),"Bahamas,2010,Both sexes",64.31
Healthy life expectancy (HALE) at birth (years),"Bahamas,2010,Male",62.2
Healthy life expectancy (HALE) at birth (years),"Bahamas,2010,Female",66.41
Healthy life expectancy (HALE) at birth (years),"Bahamas,2000,Both sexes",62.69
Healthy life expectancy (HALE) at birth (years),"Bahamas,2000,Male",60.57
Healthy life expectancy (HALE) at birth (years),"Bahamas,2000,Female",64.78
Healthy life expectancy (HALE) at birth (years),"Bahrain,2019,Both sexes",65.88
Healthy life expectancy (HALE) at birth (years),"Bahrain,2019,Male",65.98
Healthy life expectancy (HALE) at birth (years),"Bahrain,2019,Female",65.49
Healthy life expectancy (HALE) at birth (years),"Bahrain,2015,Both sexes",66.24
Healthy life expectancy (HALE) at birth (years),"Bahrain,2015,Male",66.55
Healthy life expectancy (HALE) at birth (years),"Bahrain,2015,Female",65.55
Healthy life expectancy (HALE) at birth (years),"Bahrain,2010,Both sexes",65.04
Healthy life expectancy (HALE) at birth (years),"Bahrain,2010,Male",65.28
Healthy life expectancy (HALE) at birth (years),"Bahrain,2010,Female",64.35
Healthy life expectancy (HALE) at birth (years),"Bahrain,2000,Both sexes",61.88
Healthy life expectancy (HALE) at birth (years),"Bahrain,2000,Male",61.98
Healthy life expectancy (HALE) at birth (years),"Bahrain,2000,Female",61.63
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2019,Both sexes",64.3
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2019,Male",64.25
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2019,Female",64.38
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2015,Both sexes",63.76
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2015,Male",63.82
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2015,Female",63.74
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2010,Both sexes",61.22
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2010,Male",60.83
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2010,Female",61.71
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2000,Both sexes",57.05
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2000,Male",56.62
Healthy life expectancy (HALE) at birth (years),"Bangladesh,2000,Female",57.55
Healthy life expectancy (HALE) at birth (years),"Barbados,2019,Both sexes",66.99
Healthy life expectancy (HALE) at birth (years),"Barbados,2019,Male",66.25
Healthy life expectancy (HALE) at birth (years),"Barbados,2019,Female",67.68
Healthy life expectancy (HALE) at birth (years),"Barbados,2015,Both sexes",67.21
Healthy life expectancy (HALE) at birth (years),"Barbados,2015,Male",66.84
Healthy life expectancy (HALE) at birth (years),"Barbados,2015,Female",67.55
Healthy life expectancy (HALE) at birth (years),"Barbados,2010,Both sexes",67
Healthy life expectancy (HALE) at birth (years),"Barbados,2010,Male",66.44
Healthy life expectancy (HALE) at birth (years),"Barbados,2010,Female",67.52
Healthy life expectancy (HALE) at birth (years),"Barbados,2000,Both sexes",65.96
Healthy life expectancy (HALE) at birth (years),"Barbados,2000,Male",64.61
Healthy life expectancy (HALE) at birth (years),"Barbados,2000,Female",67.22
Healthy life expectancy (HALE) at birth (years),"Belarus,2019,Both sexes",65.97
Healthy life expectancy (HALE) at birth (years),"Belarus,2019,Male",62.31
Healthy life expectancy (HALE) at birth (years),"Belarus,2019,Female",69.37
Healthy life expectancy (HALE) at birth (years),"Belarus,2015,Both sexes",65.06
Healthy life expectancy (HALE) at birth (years),"Belarus,2015,Male",61.22
Healthy life expectancy (HALE) at birth (years),"Belarus,2015,Female",68.68
Healthy life expectancy (HALE) at birth (years),"Belarus,2010,Both sexes",62.26
Healthy life expectancy (HALE) at birth (years),"Belarus,2010,Male",57.91
Healthy life expectancy (HALE) at birth (years),"Belarus,2010,Female",66.74
Healthy life expectancy (HALE) at birth (years),"Belarus,2000,Both sexes",60.82
Healthy life expectancy (HALE) at birth (years),"Belarus,2000,Male",56.63
Healthy life expectancy (HALE) at birth (years),"Belarus,2000,Female",65.16
Healthy life expectancy (HALE) at birth (years),"Belgium,2019,Both sexes",70.56
Healthy life expectancy (HALE) at birth (years),"Belgium,2019,Male",69.76
Healthy life expectancy (HALE) at birth (years),"Belgium,2019,Female",71.31
Healthy life expectancy (HALE) at birth (years),"Belgium,2015,Both sexes",69.99
Healthy life expectancy (HALE) at birth (years),"Belgium,2015,Male",69.11
Healthy life expectancy (HALE) at birth (years),"Belgium,2015,Female",70.83
Healthy life expectancy (HALE) at birth (years),"Belgium,2010,Both sexes",69.21
Healthy life expectancy (HALE) at birth (years),"Belgium,2010,Male",68
Healthy life expectancy (HALE) at birth (years),"Belgium,2010,Female",70.36
Healthy life expectancy (HALE) at birth (years),"Belgium,2000,Both sexes",67.84
Healthy life expectancy (HALE) at birth (years),"Belgium,2000,Male",66.12
Healthy life expectancy (HALE) at birth (years),"Belgium,2000,Female",69.52
Healthy life expectancy (HALE) at birth (years),"Belize,2019,Both sexes",65.29
Healthy life expectancy (HALE) at birth (years),"Belize,2019,Male",63.48
Healthy life expectancy (HALE) at birth (years),"Belize,2019,Female",67.31
Healthy life expectancy (HALE) at birth (years),"Belize,2015,Both sexes",65.06
Healthy life expectancy (HALE) at birth (years),"Belize,2015,Male",63.33
Healthy life expectancy (HALE) at birth (years),"Belize,2015,Female",67
Healthy life expectancy (HALE) at birth (years),"Belize,2010,Both sexes",64.57
Healthy life expectancy (HALE) at birth (years),"Belize,2010,Male",63.15
Healthy life expectancy (HALE) at birth (years),"Belize,2010,Female",66.12
Healthy life expectancy (HALE) at birth (years),"Belize,2000,Both sexes",62.29
Healthy life expectancy (HALE) at birth (years),"Belize,2000,Male",60.34
Healthy life expectancy (HALE) at birth (years),"Belize,2000,Female",64.57
Healthy life expectancy (HALE) at birth (years),"Benin,2019,Both sexes",55.52
Healthy life expectancy (HALE) at birth (years),"Benin,2019,Male",54.47
Healthy life expectancy (HALE) at birth (years),"Benin,2019,Female",56.57
Healthy life expectancy (HALE) at birth (years),"Benin,2015,Both sexes",54.29
Healthy life expectancy (HALE) at birth (years),"Benin,2015,Male",53.18
Healthy life expectancy (HALE) at birth (years),"Benin,2015,Female",55.39
Healthy life expectancy (HALE) at birth (years),"Benin,2010,Both sexes",53
Healthy life expectancy (HALE) at birth (years),"Benin,2010,Male",51.74
Healthy life expectancy (HALE) at birth (years),"Benin,2010,Female",54.25
Healthy life expectancy (HALE) at birth (years),"Benin,2000,Both sexes",49.59
Healthy life expectancy (HALE) at birth (years),"Benin,2000,Male",48.44
Healthy life expectancy (HALE) at birth (years),"Benin,2000,Female",50.69
Healthy life expectancy (HALE) at birth (years),"Bhutan,2019,Both sexes",63.36
Healthy life expectancy (HALE) at birth (years),"Bhutan,2019,Male",63.24
Healthy life expectancy (HALE) at birth (years),"Bhutan,2019,Female",63.48
Healthy life expectancy (HALE) at birth (years),"Bhutan,2015,Both sexes",62.6
Healthy life expectancy (HALE) at birth (years),"Bhutan,2015,Male",62.46
Healthy life expectancy (HALE) at birth (years),"Bhutan,2015,Female",62.74
Healthy life expectancy (HALE) at birth (years),"Bhutan,2010,Both sexes",61.67
Healthy life expectancy (HALE) at birth (years),"Bhutan,2010,Male",61.51
Healthy life expectancy (HALE) at birth (years),"Bhutan,2010,Female",61.83
Healthy life expectancy (HALE) at birth (years),"Bhutan,2000,Both sexes",57.06
Healthy life expectancy (HALE) at birth (years),"Bhutan,2000,Male",57.2
Healthy life expectancy (HALE) at birth (years),"Bhutan,2000,Female",56.88
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2019,Both sexes",63.27
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2019,Male",63.21
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2019,Female",63.34
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2015,Both sexes",62.73
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2015,Male",62.72
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2015,Female",62.75
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2010,Both sexes",61.72
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2010,Male",61.71
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2010,Female",61.73
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2000,Both sexes",57.89
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2000,Male",57.61
Healthy life expectancy (HALE) at birth (years),"Bolivia (Plurinational State of),2000,Female",58.18
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2019,Both sexes",67.19
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2019,Male",65.66
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2019,Female",68.68
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2015,Both sexes",66.97
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2015,Male",65.42
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2015,Female",68.47
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2010,Both sexes",66.98
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2010,Male",65.4
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2010,Female",68.5
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2000,Both sexes",66.17
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2000,Male",64.21
Healthy life expectancy (HALE) at birth (years),"Bosnia and Herzegovina,2000,Female",67.97
Healthy life expectancy (HALE) at birth (years),"Botswana,2019,Both sexes",53.89
Healthy life expectancy (HALE) at birth (years),"Botswana,2019,Male",51.93
Healthy life expectancy (HALE) at birth (years),"Botswana,2019,Female",55.81
Healthy life expectancy (HALE) at birth (years),"Botswana,2015,Both sexes",52.78
Healthy life expectancy (HALE) at birth (years),"Botswana,2015,Male",50.94
Healthy life expectancy (HALE) at birth (years),"Botswana,2015,Female",54.59
Healthy life expectancy (HALE) at birth (years),"Botswana,2010,Both sexes",50.56
Healthy life expectancy (HALE) at birth (years),"Botswana,2010,Male",48.75
Healthy life expectancy (HALE) at birth (years),"Botswana,2010,Female",52.55
Healthy life expectancy (HALE) at birth (years),"Botswana,2000,Both sexes",40.08
Healthy life expectancy (HALE) at birth (years),"Botswana,2000,Male",39.18
Healthy life expectancy (HALE) at birth (years),"Botswana,2000,Female",41.4
Healthy life expectancy (HALE) at birth (years),"Brazil,2019,Both sexes",65.4
Healthy life expectancy (HALE) at birth (years),"Brazil,2019,Male",63.44
Healthy life expectancy (HALE) at birth (years),"Brazil,2019,Female",67.37
Healthy life expectancy (HALE) at birth (years),"Brazil,2015,Both sexes",64.7
Healthy life expectancy (HALE) at birth (years),"Brazil,2015,Male",62.76
Healthy life expectancy (HALE) at birth (years),"Brazil,2015,Female",66.65
Healthy life expectancy (HALE) at birth (years),"Brazil,2010,Both sexes",63.95
Healthy life expectancy (HALE) at birth (years),"Brazil,2010,Male",61.99
Healthy life expectancy (HALE) at birth (years),"Brazil,2010,Female",65.95
Healthy life expectancy (HALE) at birth (years),"Brazil,2000,Both sexes",61.66
Healthy life expectancy (HALE) at birth (years),"Brazil,2000,Male",59.6
Healthy life expectancy (HALE) at birth (years),"Brazil,2000,Female",63.82
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2019,Both sexes",65.65
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2019,Male",65.2
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2019,Female",66.14
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2015,Both sexes",65.71
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2015,Male",65.16
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2015,Female",66.28
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2010,Both sexes",65.76
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2010,Male",65.09
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2010,Female",66.46
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2000,Both sexes",63.89
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2000,Male",63.12
Healthy life expectancy (HALE) at birth (years),"Brunei Darussalam,2000,Female",64.76
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2019,Both sexes",66.28
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2019,Male",63.91
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2019,Female",68.71
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2015,Both sexes",65.91
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2015,Male",63.53
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2015,Female",68.36
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2010,Both sexes",65.2
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2010,Male",62.72
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2010,Female",67.77
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2000,Both sexes",63.54
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2000,Male",61.19
Healthy life expectancy (HALE) at birth (years),"Bulgaria,2000,Female",66
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2019,Both sexes",54.86
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2019,Male",53.39
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2019,Female",56.26
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2015,Both sexes",53.35
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2015,Male",51.86
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2015,Female",54.76
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2010,Both sexes",51.2
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2010,Male",49.76
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2010,Female",52.52
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2000,Both sexes",44.88
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2000,Male",43.9
Healthy life expectancy (HALE) at birth (years),"Burkina Faso,2000,Female",45.74
Healthy life expectancy (HALE) at birth (years),"Burundi,2019,Both sexes",55.58
Healthy life expectancy (HALE) at birth (years),"Burundi,2019,Male",53.98
Healthy life expectancy (HALE) at birth (years),"Burundi,2019,Female",57.2
Healthy life expectancy (HALE) at birth (years),"Burundi,2015,Both sexes",53.96
Healthy life expectancy (HALE) at birth (years),"Burundi,2015,Male",52.37
Healthy life expectancy (HALE) at birth (years),"Burundi,2015,Female",55.56
Healthy life expectancy (HALE) at birth (years),"Burundi,2010,Both sexes",50.88
Healthy life expectancy (HALE) at birth (years),"Burundi,2010,Male",49.63
Healthy life expectancy (HALE) at birth (years),"Burundi,2010,Female",52.11
Healthy life expectancy (HALE) at birth (years),"Burundi,2000,Both sexes",38.13
Healthy life expectancy (HALE) at birth (years),"Burundi,2000,Male",36.64
Healthy life expectancy (HALE) at birth (years),"Burundi,2000,Female",39.68
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2019,Both sexes",64.8
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2019,Male",62.21
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2019,Female",67.22
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2015,Both sexes",65.25
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2015,Male",63.66
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2015,Female",66.85
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2010,Both sexes",64.53
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2010,Male",62.53
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2010,Female",66.43
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2000,Both sexes",61.98
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2000,Male",59.44
Healthy life expectancy (HALE) at birth (years),"Cabo Verde,2000,Female",64.24
Healthy life expectancy (HALE) at birth (years),"Cambodia,2019,Both sexes",61.51
Healthy life expectancy (HALE) at birth (years),"Cambodia,2019,Male",59.81
Healthy life expectancy (HALE) at birth (years),"Cambodia,2019,Female",63.03
Healthy life expectancy (HALE) at birth (years),"Cambodia,2015,Both sexes",60.75
Healthy life expectancy (HALE) at birth (years),"Cambodia,2015,Male",58.95
Healthy life expectancy (HALE) at birth (years),"Cambodia,2015,Female",62.37
Healthy life expectancy (HALE) at birth (years),"Cambodia,2010,Both sexes",59.01
Healthy life expectancy (HALE) at birth (years),"Cambodia,2010,Male",57.2
Healthy life expectancy (HALE) at birth (years),"Cambodia,2010,Female",60.67
Healthy life expectancy (HALE) at birth (years),"Cambodia,2000,Both sexes",51.39
Healthy life expectancy (HALE) at birth (years),"Cambodia,2000,Male",49.81
Healthy life expectancy (HALE) at birth (years),"Cambodia,2000,Female",52.93
Healthy life expectancy (HALE) at birth (years),"Cameroon,2019,Both sexes",54.52
Healthy life expectancy (HALE) at birth (years),"Cameroon,2019,Male",53.47
Healthy life expectancy (HALE) at birth (years),"Cameroon,2019,Female",55.6
Healthy life expectancy (HALE) at birth (years),"Cameroon,2015,Both sexes",51.78
Healthy life expectancy (HALE) at birth (years),"Cameroon,2015,Male",50.92
Healthy life expectancy (HALE) at birth (years),"Cameroon,2015,Female",52.68
Healthy life expectancy (HALE) at birth (years),"Cameroon,2010,Both sexes",49.57
Healthy life expectancy (HALE) at birth (years),"Cameroon,2010,Male",48.98
Healthy life expectancy (HALE) at birth (years),"Cameroon,2010,Female",50.17
Healthy life expectancy (HALE) at birth (years),"Cameroon,2000,Both sexes",46.05
Healthy life expectancy (HALE) at birth (years),"Cameroon,2000,Male",45.4
Healthy life expectancy (HALE) at birth (years),"Cameroon,2000,Female",46.74
Healthy life expectancy (HALE) at birth (years),"Canada,2019,Both sexes",71.25
Healthy life expectancy (HALE) at birth (years),"Canada,2019,Male",70.51
Healthy life expectancy (HALE) at birth (years),"Canada,2019,Female",71.98
Healthy life expectancy (HALE) at birth (years),"Canada,2015,Both sexes",71.15
