diseases,Indicator_data,CASE_ID,First Tooltip,range_low,range_high
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Czechia,2016,Both sexes",37.53,25.39,52.3
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Czechia,2016,Male",39.3,28.72,52.11
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Czechia,2016,Female",35.81,22.29,52.96
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic People's Republic of Korea,2016,Both sexes",49.03,40.67,56.43
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic People's Republic of Korea,2016,Male",53.38,44.27,61.53
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic People's Republic of Korea,2016,Female",44.82,35.93,53.64
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic Republic of the Congo,2016,Both sexes",15.44,13.64,17.35
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic Republic of the Congo,2016,Male",15.01,13.34,16.79
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic Republic of the Congo,2016,Female",15.87,13.78,17.95
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Denmark,2016,Both sexes",9.72,6.39,13.36
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Denmark,2016,Male",11.3,7.94,14.95
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Denmark,2016,Female",8.15,4.77,12.07
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Djibouti,2016,Both sexes",27.99,24.18,31.37
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Djibouti,2016,Male",31.79,27.68,35.7
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Djibouti,2016,Female",24.16,20.59,27.23
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Dominican Republic,2016,Both sexes",21.42,16.58,26.4
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Dominican Republic,2016,Male",24.33,19.11,29.94
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Dominican Republic,2016,Female",18.52,13.92,23.42
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ecuador,2016,Both sexes",8.09,5.89,10.82
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ecuador,2016,Male",9.42,7.11,12.35
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ecuador,2016,Female",6.75,4.7,9.3
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Egypt,2016,Both sexes",42.25,35.24,52.88
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Egypt,2016,Male",46.07,38.62,57.73
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Egypt,2016,Female",38.35,31.68,48.8
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"El Salvador,2016,Both sexes",21.61,16.15,27.61
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"El Salvador,2016,Male",24.12,18.45,30.44
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"El Salvador,2016,Female",19.38,13.95,25.33
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Equatorial Guinea,2016,Both sexes",20.08,14.68,24.92
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Equatorial Guinea,2016,Male",20.4,15.07,25.39
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Equatorial Guinea,2016,Female",19.69,14.23,24.62
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eritrea,2016,Both sexes",20.13,17.26,22.99
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eritrea,2016,Male",22.68,19.43,26.01
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eritrea,2016,Female",17.58,14.87,20.18
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Estonia,2016,Both sexes",43.45,24.16,71.6
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Estonia,2016,Male",39.23,23.62,61.79
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Estonia,2016,Female",47.16,23.52,82.68
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eswatini,2016,Both sexes",14.86,12.21,17.53
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eswatini,2016,Male",12.38,10.26,14.62
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eswatini,2016,Female",17.19,14.04,20.23
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ethiopia,2016,Both sexes",19.38,17.24,21.63
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ethiopia,2016,Male",21.22,18.8,23.69
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ethiopia,2016,Female",17.55,15.37,19.72
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Fiji,2016,Both sexes",50.94,36.47,62.7
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Fiji,2016,Male",68.6,48.93,84.4
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Fiji,2016,Female",32.69,22.68,40.76
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Finland,2016,Both sexes",12.44,6.32,20.04
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Finland,2016,Male",14.13,8.35,20.94
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Finland,2016,Female",10.8,4.42,19.7
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"France,2016,Both sexes",10.02,6.25,14.3
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"France,2016,Male",10.86,7.41,14.52
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"France,2016,Female",9.2,4.94,14.21
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gabon,2016,Both sexes",12.51,9.46,17.14
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gabon,2016,Male",11.31,8.72,15.28
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gabon,2016,Female",13.79,10.18,19.17
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gambia,2016,Both sexes",24.95,22,28
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gambia,2016,Male",27.72,24.51,31.29
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gambia,2016,Female",22.23,19.43,24.83
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Georgia,2016,Both sexes",106.9,76.03,143.8
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Georgia,2016,Male",114.4,85.05,150.5
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Georgia,2016,Female",100.1,66.07,139.7
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Germany,2016,Both sexes",24.58,15.61,34.48
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Germany,2016,Male",25.46,17.61,33.43
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Germany,2016,Female",23.72,13.24,35.97
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ghana,2016,Both sexes",24.66,21.4,28.1
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ghana,2016,Male",18.28,15.78,20.85
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ghana,2016,Female",31,26.87,35.35
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Greece,2016,Both sexes",28.74,18.21,52.6
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Greece,2016,Male",31.51,21.69,55.33
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Greece,2016,Female",26.04,14.48,50.04
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Grenada,2016,Both sexes",19.43,14.99,24.28
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Grenada,2016,Male",20.14,16.09,25.21
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Grenada,2016,Female",18.7,13.85,24.05
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guatemala,2016,Both sexes",14.31,11.64,17.17
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guatemala,2016,Male",14.56,11.82,17.39
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guatemala,2016,Female",14.06,11.31,17.02
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guinea,2016,Both sexes",26.78,23.65,29.82
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guinea,2016,Male",26.02,22.85,29.11
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guinea,2016,Female",27.54,24.1,30.79
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guinea-Bissau,2016,Both sexes",23.64,20.77,26.64
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guinea-Bissau,2016,Male",22.48,19.76,25.39
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guinea-Bissau,2016,Female",24.76,21.59,27.92
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guyana,2016,Both sexes",37.13,29.33,44.73
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guyana,2016,Male",40.77,32.55,49.11
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guyana,2016,Female",33.42,26.23,40.67
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Haiti,2016,Both sexes",47.06,41.79,52.39
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Haiti,2016,Male",48.66,42.9,54.25
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Haiti,2016,Female",45.5,40.16,50.8
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Honduras,2016,Both sexes",21.89,17.89,26.24
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Honduras,2016,Male",27.15,22.37,32.35
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Honduras,2016,Female",16.65,13.2,20.48
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Hungary,2016,Both sexes",51.84,36.26,67.7
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Hungary,2016,Male",51.94,38.86,64.54
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Hungary,2016,Female",51.74,33.35,71.72
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Iceland,2016,Both sexes",9.66,5.05,15.39
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Iceland,2016,Male",11.5,6.55,17.47
