Indicator_data,case_id,First Tooltip
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2015,Both sexes",5.89
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2015,Male",9.49
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2015,Female",2.67
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2010,Both sexes",5.6
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2010,Male",9.05
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2010,Female",2.53
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2005,Both sexes",5.37
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2005,Male",8.63
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2005,Female",2.45
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2000,Both sexes",5.13
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2000,Male",8.37
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2000,Female",2.31
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2018,Both sexes",9.65
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2018,Male",14.94
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2018,Female",4.71
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2015,Both sexes",9.55
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2015,Male",14.79
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2015,Female",4.66
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2010,Both sexes",9.09
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2010,Male",14.09
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2010,Female",4.43
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2005,Both sexes",8.66
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2005,Male",13.5
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2005,Female",4.16
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2000,Both sexes",8.75
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2000,Male",13.66
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Argentina,2000,Female",4.17
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2018,Both sexes",5.55
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2018,Male",9.14
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2018,Female",2.55
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2015,Both sexes",5.84
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2015,Male",9.63
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2015,Female",2.69
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2010,Both sexes",5.69
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2010,Male",9.4
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2010,Female",2.63
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2005,Both sexes",5.79
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2005,Male",9.54
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2005,Female",2.65
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2000,Both sexes",4.23
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2000,Male",7.02
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Armenia,2000,Female",1.92
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2018,Both sexes",10.51
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2018,Male",15.96
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2018,Female",5.18
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2015,Both sexes",10.83
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2015,Male",16.44
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2015,Female",5.33
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2010,Both sexes",12.39
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2010,Male",18.73
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2010,Female",6.13
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2005,Both sexes",12.08
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2005,Male",18.34
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2005,Female",5.96
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2000,Both sexes",11.72
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2000,Male",17.86
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Australia,2000,Female",5.73
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2018,Both sexes",11.96
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2018,Male",18.49
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2018,Female",5.77
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2015,Both sexes",12.07
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2015,Male",18.7
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2015,Female",5.82
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2010,Both sexes",12.2
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2010,Male",18.96
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2010,Female",5.89
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2005,Both sexes",12.79
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2005,Male",19.89
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2005,Female",6.21
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2000,Both sexes",13.12
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2000,Male",20.42
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Austria,2000,Female",6.37
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2018,Both sexes",4.41
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2018,Male",7.51
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2018,Female",1.46
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2015,Both sexes",4.58
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2015,Male",7.82
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2015,Female",1.52
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2010,Both sexes",2.97
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2010,Male",5.07
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2010,Female",0.99
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2005,Both sexes",1.81
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2005,Male",3.12
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2005,Female",0.59
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2000,Both sexes",3.45
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2000,Male",5.99
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Azerbaijan,2000,Female",1.14
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2018,Both sexes",4.78
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2018,Male",7.62
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2018,Female",2.12
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2015,Both sexes",4.55
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2015,Male",7.24
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2015,Female",2.03
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2010,Both sexes",4.12
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2010,Male",6.55
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2010,Female",1.85
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2005,Both sexes",4.28
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2005,Male",6.78
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2005,Female",1.96
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2000,Both sexes",5.58
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2000,Male",8.82
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahamas,2000,Female",2.59
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2018,Both sexes",1.09
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2018,Male",1.5
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2018,Female",0.32
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2015,Both sexes",1.3
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2015,Male",1.8
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2015,Female",0.38
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2010,Both sexes",1.69
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2010,Male",2.33
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2010,Female",0.49
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2005,Both sexes",1.76
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2005,Male",2.49
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2005,Female",0.53
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2000,Both sexes",1.74
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2000,Male",2.53
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bahrain,2000,Female",0.54
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2018,Both sexes",0.019
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2018,Male",0.033
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2018,Female",0.005
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2015,Both sexes",0.021
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2015,Male",0.036
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2015,Female",0.006
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2010,Both sexes",0.16
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2010,Male",0.28
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2010,Female",0.044
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2005,Both sexes",0.16
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2005,Male",0.27
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2005,Female",0.043
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2000,Both sexes",0.23
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2000,Male",0.39
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bangladesh,2000,Female",0.061
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2018,Both sexes",9.69
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2018,Male",15.98
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2018,Female",4.09
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2015,Both sexes",9.33
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2015,Male",15.38
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2015,Female",3.93
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2010,Both sexes",7.95
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2010,Male",13.09
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2010,Female",3.35
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2005,Both sexes",7.4
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2005,Male",12.16
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2005,Female",3.13
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2000,Both sexes",7.11
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2000,Male",11.69
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Barbados,2000,Female",3
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2018,Both sexes",11.45
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2018,Male",18.71
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2018,Female",5.38
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2015,Both sexes",12
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2015,Male",19.5
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2015,Female",5.72
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2010,Both sexes",17.43
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2010,Male",27.68
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2010,Female",8.83
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2005,Both sexes",15.3
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2005,Male",24.65
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2005,Female",7.4
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2000,Both sexes",15.17
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2000,Male",24.47
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belarus,2000,Female",7.26
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2018,Both sexes",11.08
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2018,Male",17.15
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2018,Female",5.27
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2015,Both sexes",11.82
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2015,Male",18.33
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2015,Female",5.62
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2010,Both sexes",11.4
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2010,Male",17.71
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2010,Female",5.4
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2005,Both sexes",13.13
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2005,Male",20.31
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2005,Female",6.34
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2000,Both sexes",12.49
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2000,Male",19.41
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belgium,2000,Female",5.96
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2018,Both sexes",6.22
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2018,Male",9.94
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2018,Female",2.59
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2015,Both sexes",6.74
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2015,Male",10.76
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2015,Female",2.8
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2010,Both sexes",7.08
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2010,Male",11.25
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2010,Female",2.95
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2005,Both sexes",7.16
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2005,Male",11.33
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2005,Female",2.98
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2000,Both sexes",5.55
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2000,Male",8.79
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Belize,2000,Female",2.29
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2018,Both sexes",2.81
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2018,Male",4.53
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2018,Female",1.14
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2015,Both sexes",2.97
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2015,Male",4.79
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2015,Female",1.21
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2010,Both sexes",2.47
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2010,Male",4
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2010,Female",1.01
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2005,Both sexes",2.23
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2005,Male",3.62
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2005,Female",0.92
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2000,Both sexes",2.46
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2000,Male",4
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Benin,2000,Female",1.02
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2018,Both sexes",0.43
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2018,Male",0.67
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2018,Female",0.16
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2015,Both sexes",0.42
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2015,Male",0.65
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2015,Female",0.15
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2010,Both sexes",0.92
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2010,Male",1.43
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2010,Female",0.33
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2005,Both sexes",1.6
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2005,Male",2.51
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2005,Female",0.57
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2000,Both sexes",2.77
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2000,Male",4.43
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bhutan,2000,Female",0.99
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2018,Both sexes",4.43
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2018,Male",6.8
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2018,Female",2.09
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2015,Both sexes",4.64
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2015,Male",7.12
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2015,Female",2.19
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2010,Both sexes",5.56
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2010,Male",8.55
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2010,Female",2.61
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2005,Both sexes",4.37
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Bolivia (Plurinational State of),2005,Male",6.71
