diseases,Indicator_data,CASE_ID,First Tooltip,range_low,range_high
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Female",4.51,2.67,6.75
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Both sexes",10.71,5.27,17.31
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Male",13.16,6.34,21.51
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Female",8.2,3.98,13.11
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Both sexes",51.13,33.86,70.75
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Male",59.3,40.43,81.56
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Female",42.79,27.16,60.96
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Both sexes",30.83,18,47.78
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Male",30.84,18.51,47.34
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Female",30.83,17.72,48.24
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Both sexes",6.86,3.84,10.65
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Male",8.62,4.34,14.29
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Female",5.07,2.82,7.83
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Both sexes",40.33,31.34,70
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Male",43.05,33.97,73.59
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Female",37.56,28.65,66.8
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Both sexes",6.99,4.66,12.97
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Male",6.71,4.49,12.37
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Female",7.28,4.82,13.76
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Both sexes",1.65,0.9,3.52
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Male",2.61,1.43,5.45
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Female",0.68,0.36,1.55
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Both sexes",21.99,16.31,36.56
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Male",23.54,17.7,38.21
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Female",20.41,14.69,34.88
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Both sexes",6.6,4.5,11.68
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Male",6.52,4.55,11.23
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Female",6.69,4.47,12.13
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Both sexes",2.98,1.59,5.45
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Male",3.56,1.89,6.52
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Female",2.38,1.24,4.47
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Both sexes",67.25,57.83,76.43
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Male",64.99,55.3,74.2
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Female",69.43,60,78.72
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Both sexes",44.5,36.1,52.17
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Male",44.08,35.59,51.83
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Female",44.9,36.54,52.5
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Both sexes",0.3,0.22,0.38
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Male",0.36,0.25,0.46
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Female",0.25,0.19,0.31
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Both sexes",10.54,8.95,12.21
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Male",10.47,8.92,12.12
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Female",10.62,8.86,12.38
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Both sexes",7.61,6.28,9.04
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Male",6.44,5.34,7.61
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Female",8.73,7.18,10.37
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Both sexes",3.81,2.82,4.74
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Male",3.26,1.79,4.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Female",4.35,3.32,5.23
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Both sexes",28.29,23.83,33.64
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Male",30.98,26.13,36.78
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Female",25.8,21.38,31.11
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Both sexes",5.77,3.06,8.76
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Male",6.6,3.49,10.06
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Female",5.01,2.67,7.56
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Both sexes",0.5,0.27,0.78
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Male",0.59,0.32,0.91
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Female",0.41,0.22,0.65
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Both sexes",13.28,9.93,16.52
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Male",15.38,11.95,18.65
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Female",11.34,8.16,14.35
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Both sexes",6.26,4.49,8.97
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Male",5.53,4,7.74
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Female",6.93,4.84,10.09
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Both sexes",2.47,1.21,3.9
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Male",2.87,1.41,4.57
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Female",2.1,1.06,3.31
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Both sexes",36.95,27.62,48.96
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Male",38.85,29.57,50.58
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Female",35.13,25.64,47.83
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Both sexes",10.14,4.28,17.73
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Male",9.54,4.01,16.73
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Female",10.71,4.6,18.7
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Both sexes",2.1,0.99,3.62
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Male",2.83,1.34,4.84
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Female",1.39,0.66,2.41
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Both sexes",13.22,9.26,17.49
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Male",14.63,10.93,18.32
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Female",11.87,7.66,16.72
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Both sexes",4.55,3.02,7.7
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Male",4.68,3.26,7.13
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Female",4.43,2.66,8.27
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Both sexes",6.95,3.06,11.98
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Male",7.18,3.1,12.48
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Female",6.72,2.94,11.36
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Both sexes",80.51,64.27,101.6
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Male",94,77.08,116.5
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Female",68.54,51.84,89.61
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Both sexes",2.97,2.02,4.08
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Male",3.33,2.27,4.54
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Female",2.64,1.79,3.68
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Both sexes",8.57,4.91,13.14
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Male",14.81,8.48,22.49
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Female",3.02,1.72,4.89
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Both sexes",49.88,36.47,64.93
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Male",55.67,43.29,69.24
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Female",44.73,30.63,62.82
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Both sexes",10.12,7.09,14.8
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Male",10.02,7.47,13.64
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Female",10.21,6.66,15.95
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Both sexes",8.89,5.07,13.45
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Male",10.09,5.62,15.29
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Female",7.83,4.43,11.96
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Both sexes",16.83,11.83,23.68
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Male",17.8,12.88,23.59
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Female",15.87,10.61,23.72
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Both sexes",1.15,0.3,2.54
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Male",1,0.26,2.21
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Female",1.3,0.34,2.86
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Both sexes",1.54,0.63,2.92
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Male",1.85,0.75,3.49
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Female",1.24,0.51,2.35
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Both sexes",8.1,4.82,12.02
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Male",9.19,5.97,12.73
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Female",7.02,3.53,11.45
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Both sexes",2.85,1.08,7.8
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Male",2.32,1.04,5.74
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Female",3.38,1.1,9.81
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Both sexes",3.18,0.97,6.27
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Male",3.44,1.04,6.77
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Female",2.93,0.89,5.77
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Both sexes",38.74,28.09,50.54
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Male",39.44,30.1,49.22
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Female",38.08,26.32,52.25
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Both sexes",1.55,0.56,2.88
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Male",1.45,0.52,2.69
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Female",1.65,0.6,3.07
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Both sexes",3.51,1.7,5.88
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Male",4.41,2.13,7.38
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Female",2.65,1.28,4.44
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Both sexes",23.61,14.86,33.19
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Male",23.69,16.43,31.24
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Female",23.53,13.12,35.66
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Both sexes",4.64,2.19,10.02
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Male",3.87,2.14,7.55
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Female",5.38,2.26,12.47
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Both sexes",5.43,2.13,9.61
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Male",6.03,2.36,10.66
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Female",4.86,1.91,8.61
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Both sexes",54.94,43.26,72.63
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Male",60.14,48.15,78.98
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Female",49.78,38.04,67.02
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Both sexes",2.94,1.54,4.72
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Male",3.06,1.59,4.88
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Female",2.82,1.47,4.55
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Both sexes",1.67,0.8,3.08
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Male",2.58,1.24,4.66
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Female",0.76,0.36,1.49
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Both sexes",37.73,28.61,49.29
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Male",42.27,33.1,54.72
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Female",33.22,23.92,45.04
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Both sexes",9.25,6.43,13.24
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Male",8.93,6.37,12.44
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Female",9.57,6.37,14.01
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Both sexes",3.33,1.55,5.36
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Male",3.29,1.54,5.46
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Female",3.37,1.61,5.58
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Both sexes",21.59,18.15,25.59
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Male",24.4,20.87,28.5
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Female",18.9,15.47,23.13
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Both sexes",3.64,1.74,5.91
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Male",3.67,1.75,5.96
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Female",3.61,1.72,5.86
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Both sexes",1.09,0.57,1.74
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Male",1.57,0.82,2.51
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Female",0.62,0.33,1
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Both sexes",10.93,8.44,13.29
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Male",12.91,10.34,15.28
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Female",9.04,6.54,11.51
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Both sexes",4.89,3.5,7.22
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Male",4.86,3.63,6.56
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Female",4.91,3.28,7.88
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Both sexes",1.05,0.48,1.76
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Male",1.4,0.63,2.34
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Female",0.72,0.32,1.2
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Both sexes",15.32,13.74,17
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Male",15.72,14.17,17.41
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Female",14.64,12.98,16.54
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Both sexes",1.76,1.4,2.13
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Male",1.66,1.32,2.01
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Female",1.92,1.53,2.33
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Both sexes",1.4,0.95,1.83
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Male",1.59,1.09,2.09
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Female",1.08,0.74,1.42
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Both sexes",9.16,7.84,10.54
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Male",9.72,8.43,11.07
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Female",8.25,6.8,9.72
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Both sexes",1.5,1.26,1.77
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Male",1.34,1.15,1.56
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Female",1.75,1.44,2.12
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Both sexes",1.49,0.95,2.1
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Male",1.41,0.9,1.98
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Female",1.64,1.04,2.3
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Both sexes",103.4,94.21,112.2
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Male",111.8,98.44,123.3
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Female",94.95,87.36,102
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Both sexes",13.19,10.99,14.89
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Male",13.77,11.44,15.61
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Female",12.59,10.57,14.16
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Both sexes",4.74,3.72,5.64
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Male",7.06,5.39,8.49
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Female",2.38,1.95,2.76
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Both sexes",31.24,27.54,35.18
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Male",35.47,31.22,40.1
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Female",26.94,23.53,30.3
