diseases,Indicator_data,CASE_ID,First Tooltip,range_low,range_high
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Barbados,2016,Female",3,1.63,4.69
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belarus,2016,Both sexes",3.79,1.85,6.16
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belarus,2016,Male",5.99,2.91,9.83
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belarus,2016,Female",1.88,0.94,3.02
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belgium,2016,Both sexes",8.22,3.27,14.48
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belgium,2016,Male",9.38,3.73,16.54
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belgium,2016,Female",7.09,2.82,12.49
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belize,2016,Both sexes",3.54,2.17,5.1
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belize,2016,Male",4.77,2.63,7.23
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belize,2016,Female",2.33,1.52,3.16
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Benin,2016,Both sexes",8.14,6.27,9.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Benin,2016,Male",7.19,3.96,9.39
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Benin,2016,Female",9.09,7.39,10.33
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bhutan,2016,Both sexes",19.8,12.97,26.12
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bhutan,2016,Male",19.33,10.92,27.89
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bhutan,2016,Female",20.33,13.65,26.02
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bolivia (Plurinational State of),2016,Both sexes",7.04,4.51,9.73
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bolivia (Plurinational State of),2016,Male",7.07,3.87,10.46
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bolivia (Plurinational State of),2016,Female",7.01,4.66,9.54
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bosnia and Herzegovina,2016,Both sexes",15.83,9.88,21.46
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bosnia and Herzegovina,2016,Male",18.48,10.07,27.11
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bosnia and Herzegovina,2016,Female",13.28,8.38,17.45
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Botswana,2016,Both sexes",7.82,5.09,10.55
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Botswana,2016,Male",9.62,5.11,14.35
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Botswana,2016,Female",6.06,4.1,7.84
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brazil,2016,Both sexes",4.9,2.51,8.21
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brazil,2016,Male",5.28,2.39,8.98
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brazil,2016,Female",4.54,2.44,7.34
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brunei Darussalam,2016,Both sexes",0.96,0.12,2.31
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brunei Darussalam,2016,Male",0.98,0.12,2.35
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brunei Darussalam,2016,Female",0.95,0.12,2.27
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bulgaria,2016,Both sexes",11.57,5.15,21.43
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bulgaria,2016,Male",14.54,6.54,27.09
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bulgaria,2016,Female",8.76,3.83,17.1
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burkina Faso,2016,Both sexes",4.41,3.42,5.17
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burkina Faso,2016,Male",3.73,2.1,4.85
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burkina Faso,2016,Female",5.09,4.1,5.78
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burundi,2016,Both sexes",6.72,4.93,8.01
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burundi,2016,Male",7.25,4,9.5
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burundi,2016,Female",6.21,5.04,7.04
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cabo Verde,2016,Both sexes",6.45,4.54,8.77
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cabo Verde,2016,Male",5.56,3.25,8.03
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cabo Verde,2016,Female",7.34,5.19,10.23
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cambodia,2016,Both sexes",7.82,5.55,9.53
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cambodia,2016,Male",8.58,4.44,11.63
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cambodia,2016,Female",7.09,5.6,8.24
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cameroon,2016,Both sexes",8.76,6.81,10.31
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cameroon,2016,Male",8.49,5.37,10.87
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cameroon,2016,Female",9.03,7.35,10.34
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Canada,2016,Both sexes",2.52,0.51,5.61
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Canada,2016,Male",2.59,0.52,5.77
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Canada,2016,Female",2.45,0.49,5.46
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Central African Republic,2016,Both sexes",9.59,7.52,11.13
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Central African Republic,2016,Male",8.51,5.05,10.9
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Central African Republic,2016,Female",10.64,8.77,11.95
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chad,2016,Both sexes",7.26,5.68,8.47
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chad,2016,Male",6.91,4.2,8.8
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chad,2016,Female",7.62,6.3,8.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chile,2016,Both sexes",6.19,3.31,9.53
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chile,2016,Male",6.32,3.2,10.02
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chile,2016,Female",6.07,3.24,9.44
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"China,2016,Both sexes",31.72,22.39,40.64
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"China,2016,Male",31.65,18.95,43.39
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"China,2016,Female",31.79,22.71,39.93
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Colombia,2016,Both sexes",4.97,2.78,7.51
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Colombia,2016,Male",5.09,2.54,7.98
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Colombia,2016,Female",4.86,2.72,7.33
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Comoros,2016,Both sexes",5.69,3.94,6.98
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Comoros,2016,Male",6.27,3.11,8.52
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Comoros,2016,Female",5.1,4.02,5.87
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Congo,2016,Both sexes",6.42,5.06,7.57
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Congo,2016,Male",4.78,2.76,6.32
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Congo,2016,Female",8.07,6.45,9.33
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Costa Rica,2016,Both sexes",5.34,2.79,8.21
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Costa Rica,2016,Male",5.35,2.72,8.49
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Costa Rica,2016,Female",5.33,2.93,8.12
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Côte d’Ivoire,2016,Both sexes",8.62,6.05,10.5
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Côte d’Ivoire,2016,Male",8.99,4.76,12.18
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Côte d’Ivoire,2016,Female",8.24,6.47,9.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Croatia,2016,Both sexes",9.75,4.88,15.91
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Croatia,2016,Male",11.26,5.44,18.91
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Croatia,2016,Female",8.34,4.09,13.89
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cuba,2016,Both sexes",12.64,4.84,25.96
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cuba,2016,Male",12.8,4.93,28.06
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cuba,2016,Female",12.48,4.68,24.76
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cyprus,2016,Both sexes",6.11,2.8,10.18
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cyprus,2016,Male",7.31,3.35,12.17
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cyprus,2016,Female",4.91,2.25,8.18
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Czechia,2016,Both sexes",6.52,3.05,10.91
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Czechia,2016,Male",7.85,3.67,13.29
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Czechia,2016,Female",5.22,2.44,8.84
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic People's Republic of Korea,2016,Both sexes",71.77,54.15,85.92
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic People's Republic of Korea,2016,Male",64.33,35.52,85.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic People's Republic of Korea,2016,Female",78.89,62.4,91.07
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic Republic of the Congo,2016,Both sexes",6.62,5.2,7.71
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic Republic of the Congo,2016,Male",5.19,2.91,6.77
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Democratic Republic of the Congo,2016,Female",8.04,6.5,9.15
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Denmark,2016,Both sexes",8.14,2.83,14.97
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Denmark,2016,Male",7.8,2.71,14.34
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Denmark,2016,Female",8.48,2.95,15.59
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Djibouti,2016,Both sexes",6.47,4.55,7.83
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Djibouti,2016,Male",7.81,4.44,10.19
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Djibouti,2016,Female",5.12,4.11,5.85
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Dominican Republic,2016,Both sexes",2.35,1.35,3.54
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Dominican Republic,2016,Male",2.47,1.2,3.89
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Dominican Republic,2016,Female",2.24,1.29,3.29
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ecuador,2016,Both sexes",3.62,1.7,5.95
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ecuador,2016,Male",3.94,1.83,6.5
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ecuador,2016,Female",3.3,1.54,5.54
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Egypt,2016,Both sexes",6.66,4.39,9.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Egypt,2016,Male",7.82,5.15,11.16
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Egypt,2016,Female",5.47,3.59,8.09
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"El Salvador,2016,Both sexes",4.53,2.8,6.57
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"El Salvador,2016,Male",4.44,2.47,6.82
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"El Salvador,2016,Female",4.61,2.87,6.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Equatorial Guinea,2016,Both sexes",6.54,4.61,8.26
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Equatorial Guinea,2016,Male",5.18,3.04,7.13
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Equatorial Guinea,2016,Female",8.22,5.87,10.21
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eritrea,2016,Both sexes",8.36,6.07,10.14
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eritrea,2016,Male",9.79,5.77,12.87
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eritrea,2016,Female",6.92,5.54,8
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Estonia,2016,Both sexes",2.69,0.77,6
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Estonia,2016,Male",3.88,1.03,9.02
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Estonia,2016,Female",1.64,0.46,3.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eswatini,2016,Both sexes",8.72,5.79,11.43
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eswatini,2016,Male",10.32,5.08,15.19
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Eswatini,2016,Female",7.22,5.18,8.88
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ethiopia,2016,Both sexes",6.02,4.4,7.18
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ethiopia,2016,Male",6.49,3.6,8.51
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ethiopia,2016,Female",5.56,4.51,6.31
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Fiji,2016,Both sexes",6.89,3.98,9.43
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Fiji,2016,Male",8.27,3.37,12.67
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Fiji,2016,Female",5.47,3.59,7.08
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Finland,2016,Both sexes",1.31,0.19,3.16
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Finland,2016,Male",1.8,0.26,4.32
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Finland,2016,Female",0.85,0.12,2.03
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"France,2016,Both sexes",4,1.53,7.14
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"France,2016,Male",4.6,1.76,8.21
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"France,2016,Female",3.42,1.31,6.11
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gabon,2016,Both sexes",4.41,2.86,6.29
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gabon,2016,Male",3.84,2.31,5.82
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gabon,2016,Female",5.01,3.29,7.18
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gambia,2016,Both sexes",6.3,4.64,7.45
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gambia,2016,Male",6.13,3.33,8.05
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Gambia,2016,Female",6.47,5.23,7.37
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Georgia,2016,Both sexes",15.54,9.27,22.3
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Georgia,2016,Male",16.85,8.53,26.78
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Georgia,2016,Female",14.35,8.41,20.47
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Germany,2016,Both sexes",7.51,2.88,13.42
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Germany,2016,Male",8.17,3.13,14.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Germany,2016,Female",6.88,2.64,12.28
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ghana,2016,Both sexes",5.92,4.48,7.09
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ghana,2016,Male",5.4,2.94,7.22
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Ghana,2016,Female",6.44,5.12,7.47
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Greece,2016,Both sexes",11.91,4.99,26.76
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Greece,2016,Male",12.31,5.11,27.02
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Greece,2016,Female",11.53,4.82,27.01
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Grenada,2016,Both sexes",2.82,1.56,4.34
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Grenada,2016,Male",2.72,1.48,4.25
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Grenada,2016,Female",2.93,1.63,4.53
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guatemala,2016,Both sexes",5.22,3.72,6.57
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guatemala,2016,Male",5.1,2.68,7.17
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guatemala,2016,Female",5.34,4,6.38
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guinea,2016,Both sexes",8.69,6.38,10.35
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guinea,2016,Male",7.94,4.08,10.67
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Guinea,2016,Female",9.44,7.53,10.78
